date,time,menu_item,category,quantity,price_per_item,revenue,payment_method,order_type,server_id,server_name,hour,weekday,month_number,month_name,day_of_week,is_weekend,high_revenue
2024-11-23,12:00:00,Truffle Fries,Side,5.0,8,40.0,Cash,Dine-In,102,Jake,12,Saturday,11,November,5,True,False
2024-02-22,21:00:00,Chocolate Lava Cake,Dessert,8.0,9,72.0,Cash,Dine-In,101,Sarah,21,Thursday,2,February,3,False,True
2024-04-21,14:00:00,Cabernet Sauvignon,Beverage,2.0,16,32.0,Mobile Payment,Delivery,105,Nina,14,Sunday,4,April,6,True,False
2024-08-02,14:45:00,Chocolate Lava Cake,Dessert,5.0,9,45.0,Cash,Dine-In,104,Carlos,14,Friday,8,August,4,False,False
2024-06-23,15:15:00,Caesar Salad,Appetizer,3.0,10,30.0,Cash,Dine-In,104,Carlos,15,Sunday,6,June,6,True,False
2024-02-19,16:30:00,Chocolate Lava Cake,Dessert,3.0,9,27.0,Cash,Delivery,104,Carlos,16,Monday,2,February,0,False,False
2024-10-01,12:45:00,Filet Mignon,Entree,5.0,42,210.0,Credit Card,Delivery,105,Nina,12,Tuesday,10,October,1,False,True
2024-07-04,20:15:00,Truffle Fries,Side,2.0,8,16.0,Cash,Delivery,102,Jake,20,Thursday,7,July,3,False,False
2024-05-28,12:15:00,Filet Mignon,Entree,3.0,42,126.0,Credit Card,Takeaway,103,Emily,12,Tuesday,5,May,1,False,True
2024-03-24,16:30:00,Caesar Salad,Appetizer,3.0,10,30.0,Mobile Payment,Delivery,101,Sarah,16,Sunday,3,March,6,True,False
2024-11-07,21:15:00,Cabernet Sauvignon,Beverage,3.0,16,48.0,Cash,Takeaway,104,Carlos,21,Thursday,11,November,3,False,False
2024-05-18,21:15:00,Bourbon BBQ Burger,Entree,7.0,22,154.0,Cash,Dine-In,101,Sarah,21,Saturday,5,May,5,True,True
2024-06-10,17:30:00,Filet Mignon,Entree,3.0,42,126.0,Mobile Payment,Delivery,103,Emily,17,Monday,6,June,0,False,True
