menu_item,category,total_revenue,units_sold,transactions,average_order_value
New York Strip,Entree,82771.6,2178.2,449,184.35
Filet Mignon,Entree,82395.6,1961.8,413,199.51
Ribeye Steak,Entree,63409.5,1811.7,385,164.7
Bourbon BBQ Burger,Entree,44398.2,2018.1,411,108.02
Cabernet Sauvignon,Beverage,30020.8,1876.3,397,75.62
Shrimp Cocktail,Appetizer,28266.0,2019.0,426,66.35
Old Fashioned,Beverage,23337.6,1944.8,399,58.49
Caesar Salad,Appetizer,19275.0,1927.5,403,47.83
Chocolate Lava Cake,Dessert,17739.0,1971.0,394,45.02
Grilled Asparagus,Side,17423.2,2177.9,451,38.63
