record_id,date,time,menu_item,category,quantity,price_per_item,revenue,payment_method,order_type,server_id,server_name,hour,weekday,month_number,month_name,day_of_week,is_weekend,high_revenue,date_hour,service_period,weekend_label,high_revenue_label
1,2024-11-23,12:00:00,Truffle Fries,Side,5.0,8,40.0,Cash,Dine-In,102,Jake,12,Saturday,11,November,5,True,False,2024-11-23 12:00:00,Lunch,Weekend,Other record
2,2024-02-22,21:00:00,Chocolate Lava Cake,Dessert,8.0,9,72.0,Cash,Dine-In,101,Sarah,21,Thursday,2,February,3,False,True,2024-02-22 21:00:00,Dinner,Weekday,High-value record
3,2024-04-21,14:00:00,Cabernet Sauvignon,Beverage,2.0,16,32.0,Mobile Payment,Delivery,105,Nina,14,Sunday,4,April,6,True,False,2024-04-21 14:00:00,Lunch,Weekend,Other record
4,2024-08-02,14:45:00,Chocolate Lava Cake,Dessert,5.0,9,45.0,Cash,Dine-In,104,Carlos,14,Friday,8,August,4,False,False,2024-08-02 14:00:00,Lunch,Weekday,Other record
5,2024-06-23,15:15:00,Caesar Salad,Appetizer,3.0,10,30.0,Cash,Dine-In,104,Carlos,15,Sunday,6,June,6,True,False,2024-06-23 15:00:00,Lunch,Weekend,Other record
6,2024-02-19,16:30:00,Chocolate Lava Cake,Dessert,3.0,9,27.0,Cash,Delivery,104,Carlos,16,Monday,2,February,0,False,False,2024-02-19 16:00:00,Lunch,Weekday,Other record
7,2024-10-01,12:45:00,Filet Mignon,Entree,5.0,42,210.0,Credit Card,Delivery,105,Nina,12,Tuesday,10,October,1,False,True,2024-10-01 12:00:00,Lunch,Weekday,High-value record
8,2024-07-04,20:15:00,Truffle Fries,Side,2.0,8,16.0,Cash,Delivery,102,Jake,20,Thursday,7,July,3,False,False,2024-07-04 20:00:00,Dinner,Weekday,Other record
9,2024-05-28,12:15:00,Filet Mignon,Entree,3.0,42,126.0,Credit Card,Takeaway,103,Emily,12,Tuesday,5,May,1,False,True,2024-05-28 12:00:00,Lunch,Weekday,High-value record
10,2024-03-24,16:30:00,Caesar Salad,Appetizer,3.0,10,30.0,Mobile Payment,Delivery,101,Sarah,16,Sunday,3,March,6,True,False,2024-03-24 16:00:00,Lunch,Weekend,Other record
11,2024-11-07,21:15:00,Cabernet Sauvignon,Beverage,3.0,16,48.0,Cash,Takeaway,104,Carlos,21,Thursday,11,November,3,False,False,2024-11-07 21:00:00,Dinner,Weekday,Other record
12,2024-05-18,21:15:00,Bourbon BBQ Burger,Entree,7.0,22,154.0,Cash,Dine-In,101,Sarah,21,Saturday,5,May,5,True,True,2024-05-18 21:00:00,Dinner,Weekend,High-value record
13,2024-06-10,17:30:00,Filet Mignon,Entree,3.0,42,126.0,Mobile Payment,Delivery,103,Emily,17,Monday,6,June,0,False,True,2024-06-10 17:00:00,Dinner,Weekday,High-value record
14,2024-04-18,21:45:00,Grilled Asparagus,Side,8.0,8,64.0,Cash,Takeaway,102,Jake,21,Thursday,4,April,3,False,True,2024-04-18 21:00:00,Dinner,Weekday,High-value record
15,2024-05-06,22:30:00,Truffle Fries,Side,9.0,8,72.0,Credit Card,Delivery,104,Carlos,22,Monday,5,May,0,False,True,2024-05-06 22:00:00,Dinner,Weekday,High-value record
16,2024-07-04,14:15:00,Cabernet Sauvignon,Beverage,4.0,16,64.0,Cash,Dine-In,101,Sarah,14,Thursday,7,July,3,False,True,2024-07-04 14:00:00,Lunch,Weekday,High-value record
17,2024-03-19,21:15:00,Bourbon BBQ Burger,Entree,8.0,22,176.0,Mobile Payment,Dine-In,104,Carlos,21,Tuesday,3,March,1,False,True,2024-03-19 21:00:00,Dinner,Weekday,High-value record
18,2024-07-14,20:45:00,Cabernet Sauvignon,Beverage,6.0,16,96.0,Mobile Payment,Dine-In,101,Sarah,20,Sunday,7,July,6,True,True,2024-07-14 20:00:00,Dinner,Weekend,High-value record
19,2024-12-15,19:30:00,Bourbon BBQ Burger,Entree,5.0,22,110.0,Cash,Takeaway,104,Carlos,19,Sunday,12,December,6,True,True,2024-12-15 19:00:00,Dinner,Weekend,High-value record
20,2024-03-21,18:00:00,Truffle Fries,Side,6.0,8,48.0,Mobile Payment,Dine-In,105,Nina,18,Thursday,3,March,3,False,False,2024-03-21 18:00:00,Dinner,Weekday,Other record
21,2024-02-24,21:30:00,Bourbon BBQ Burger,Entree,12.0,22,264.0,Mobile Payment,Dine-In,102,Jake,21,Saturday,2,February,5,True,True,2024-02-24 21:00:00,Dinner,Weekend,High-value record
22,2024-07-10,13:00:00,Chocolate Lava Cake,Dessert,3.0,9,27.0,Credit Card,Dine-In,101,Sarah,13,Wednesday,7,July,2,False,False,2024-07-10 13:00:00,Lunch,Weekday,Other record
23,2024-07-04,15:15:00,Ribeye Steak,Entree,2.0,35,70.0,Mobile Payment,Dine-In,101,Sarah,15,Thursday,7,July,3,False,True,2024-07-04 15:00:00,Lunch,Weekday,High-value record
24,2024-09-05,12:15:00,New York Strip,Entree,4.0,38,152.0,Mobile Payment,Dine-In,103,Emily,12,Thursday,9,September,3,False,True,2024-09-05 12:00:00,Lunch,Weekday,High-value record
25,2024-09-27,20:45:00,Caesar Salad,Appetizer,12.0,10,120.0,Mobile Payment,Delivery,102,Jake,20,Friday,9,September,4,False,True,2024-09-27 20:00:00,Dinner,Weekday,High-value record
26,2024-12-31,15:45:00,Bourbon BBQ Burger,Entree,5.2,22,114.4,Credit Card,Delivery,104,Carlos,15,Tuesday,12,December,1,False,True,2024-12-31 15:00:00,Lunch,Weekday,High-value record
27,2024-03-02,14:15:00,Filet Mignon,Entree,6.0,42,252.0,Cash,Delivery,105,Nina,14,Saturday,3,March,5,True,True,2024-03-02 14:00:00,Lunch,Weekend,High-value record
28,2024-04-27,20:15:00,Ribeye Steak,Entree,2.0,35,70.0,Mobile Payment,Delivery,101,Sarah,20,Saturday,4,April,5,True,True,2024-04-27 20:00:00,Dinner,Weekend,High-value record
29,2024-04-27,12:00:00,Mashed Potatoes,Side,2.0,7,14.0,Mobile Payment,Dine-In,103,Emily,12,Saturday,4,April,5,True,False,2024-04-27 12:00:00,Lunch,Weekend,Other record
30,2024-12-08,18:15:00,Cabernet Sauvignon,Beverage,4.0,16,64.0,Mobile Payment,Delivery,105,Nina,18,Sunday,12,December,6,True,True,2024-12-08 18:00:00,Dinner,Weekend,High-value record
31,2024-08-30,14:45:00,Grilled Asparagus,Side,3.0,8,24.0,Cash,Dine-In,104,Carlos,14,Friday,8,August,4,False,False,2024-08-30 14:00:00,Lunch,Weekday,Other record
32,2024-06-30,17:45:00,Old Fashioned,Beverage,2.0,12,24.0,Mobile Payment,Delivery,101,Sarah,17,Sunday,6,June,6,True,False,2024-06-30 17:00:00,Dinner,Weekend,Other record
33,2024-02-01,17:30:00,Filet Mignon,Entree,3.0,42,126.0,Cash,Dine-In,105,Nina,17,Thursday,2,February,3,False,True,2024-02-01 17:00:00,Dinner,Weekday,High-value record
34,2024-08-17,13:45:00,New York Strip,Entree,6.0,38,228.0,Credit Card,Dine-In,101,Sarah,13,Saturday,8,August,5,True,True,2024-08-17 13:00:00,Lunch,Weekend,High-value record
35,2024-08-14,19:00:00,Ribeye Steak,Entree,11.0,35,385.0,Cash,Dine-In,102,Jake,19,Wednesday,8,August,2,False,True,2024-08-14 19:00:00,Dinner,Weekday,High-value record
